task;type;question_cz;question_en;image_name;difficulty;a1_value;a1_unit;a1_correct;a2_value;a2_unit;a2_correct;a3_value;a3_unit;a3_correct;
length_m;estimate_length;mobilního telefonu;mobile phone;phone;0;15;dm;false;15;m;false;15;cm;true;
length_m;estimate_height;jedenáctipatrové budovy;11-story building;;0;40;m;true;40;cm;false;;;;
length_m;estimate_length;postele;bed;bed;0;2;cm;false;2;m;true;2;dm;false;
length_m;estimate_length;šroubováku;screwdriver;screwdriver;0;15;m;false;15;cm;true;;;;
length_m;estimate_height;basketbalisty;basketball player;;0;2;m;true;2;dm;false;;;;
length_m;estimate_length;auta;car;car;0;4;mm;false;4;m;true;;;;
length_m;estimate_length;obálky;envelope;message;0;28;m;false;28;cm;true;;;;
length_m;estimate_height;pokoje;room;;0;3;dm;false;3;km;false;3;m;true;
length_m;estimate_length;platební karty;credit card;card;0;8;dm;false;8;cm;true;;;;
length_m;estimate_height;plechovky s kolou;can of coke;;0;12;mm;false;12;cm;true;;;;
length_m;estimate_length;bochníku chleba;loaf of bread;bread;0;3;dm;true;3;cm;false;;;;
length_m;estimate_height;elektrického sloupu;electric power pole;;0;12;m;true;12;mm;false;;;;
length_m;estimate_length;letadla;airplane;plane;0;460;dm;true;460;m;false;;;;
length_m;estimate_height;hrnku;mug;tea;0;180;mm;true;180;cm;false;;;;
length_m;estimate_length;zubu;tooth;;0;2;dm;false;2;cm;true;;;;
length_m;estimate_distance;mezi dvěma městy;between two cities;;0;30;km;true;30;m;false;;;;
length_m;estimate_distance;mezi dvěma městy;between two cities;;0;30;km;true;30;mm;false;30;dm;false;
length_m;estimate_distance;k nejbližšímu obchodu;to nearest shop;;0;300;m;true;100;km;false;;;;
length_m;estimate_length;kytary;guitar;guitar;0;1;m;true;1;dm;false;;;;
length_m;estimate_length;kytary;guitar;guitar;0;100;cm;true;100;m;false;;;;
length_m;estimate_thick;platební karty;credit card;card;0;1;cm;false;1;mm;true;;;;
length_m;estimate_thick;platební karty;credit card;card;0;1;dm;false;1;mm;true;;;;
length_m;compare;Co je delší?;Which is more?;;0;14;mm;true;1;cm;false;;;;
length_m;compare;Co je delší?;Which is more?;;0;1;km;true;680;m;false;;;;
length_m;compare;Co je delší?;Which is more?;;0;12;dm;true;100;cm;false;;;;
length_m;compare;Co je delší?;Which is more?;;0;1;m;false;1500;mm;true;;;;
;;;;;;;;;;;;;;;
length_i;estimate_length;hasičského vozu;fire truck;;0;12;in;false;27;ft;true;;;;
length_i;estimate_height;schodu;stairstep;;0;9;ft;false;9;in;true;;;;
length_i;estimate_length;obálky;envelope;message;0;1;in;false;1;ft;true;;;;
length_i;estimate_height;psa;dog;;0;1;ft;true;1;in;false;;;;
length_i;estimate_length;kartáčku na zuby;toothbrush;;0;7;in;true;7;yd;false;;;;
length_i;estimate_length;bochníku chleba;loaf of bread;bread;0;12;ft;false;12;in;true;;;;
length_i;estimate_height;láhve s kečupem;ketchup bottle;;0;10;in;true;10;yd;false;;;;
length_i;estimate_height;automobilu;car;car;0;5;in;false;5;ft;true;;;;
length_i;estimate_height;kola;bicycle;bicycle;0,4;3;yd;false;10;in;false;1;yd;true;
length_i;estimate_height;šroubováku;hammer;hammer;0,6;1;in;false;16;in;true;4;in;false;
length_i;estimate_height;stromu;tree;tree;0,1;6;yd;true;1;mi;false;4;ft;false;
length_i;estimate_length;skateboardu;skateboard;;0,4;2;yd;false;12;in;false;30;in;true;
length_i;estimate_length;bochníku chleba;slice of bread;bread;0,1;4;ft;false;4;in;true;2;yd;false;
length_i;estimate_height;horského štítu;mountain;;0;2;mi;true;2;ft;false;2;yd;false;
length_i;estimate_height;tenisového míčku;tennis ball;;0,5;1;ft;false;7;in;false;3;in;true;
length_i;estimate_height;lízátka;lollipop;;0,5;3;in;false;5;in;true;1;ft;false;
length_i;estimate_height;jedenáctipatrové budovy;11-story building;;0;11;ft;false;11;yd;false;100;ft;true;
length_i;estimate_distance;mezi dvěma městy;between two cities;;0;20;mi;true;50;yd;false;;;;
;;;;;;;;;;;;;;;
length_c;compare;Co je delší?;Which is more?;;0,1;1;cm;false;1;in;false;1;ft;true;
length_c;compare;Co je delší?;Which is more?;;0,1;1;km;false;1;mi;true;;;;
length_c;compare;Co je delší?;Which is more?;;0,1;1;m;true;1;yd;false;;;;
length_c;compare;Co je delší?;Which is more?;;0,7;150;in;false;50;ft;false;20;yd;true;
length_c;compare;Co je delší?;Which is more?;;0,8;10;dm;true;30;in;false;;;;
length_c;compare;Co je delší?;Which is more?;;0,2;1;m;false;10;ft;false;10;yd;true;
length_c;compare;Co je delší?;Which is more?;;0,2;1;m;false;10;ft;true;;;;
length_c;compare;Co je delší?;Which is more?;;0,3;1000;yd;false;1;km;true;;;;
length_c;compare;Co je delší?;Which is more?;;0,4;1;mi;false;20000;dm;true;1800;m;false;
;;;;;;;;;;;;;;;
mass_m;estimate_weight;svorky;paperclip;;0;1;g;true;1;kg;true;;;;
mass_m;estimate_weight;tlusté knihy;thick book;;0;1;kg;true;1;g;false;;;;
mass_m;estimate_weight;obálky;envelope;;0,2;30;g;false;1;g;true;200;kg;false;
mass_m;estimate_weight;lžíce;spoon;;0,4;3;kg;false;2;g;false;25;g;true;
mass_m;estimate_weight;tenisového míčku;tennis ball;;0,4;50;g;true;1;g;false;15;kg;false;
mass_m;estimate_weight;kartáčku na zuby;toothbrush;;0,2;30;g;true;15;kg;false;500;kg;false;
mass_m;estimate_weight;psa;dog;;0,2;300;kg;false;25;kg;true;20;g;false;
mass_m;estimate_weight;tužky;pencil;;0,2;20;kg;false;1;g;false;20;g;true;
mass_m;estimate_weight;plechovky s kolou;can of coke;;0,1;500;kg;false;2;kg;false;250;g;true;
mass_m;estimate_weight;cihly;brick;;0,3;3;g;false;500;g;false;2;kg;true;
mass_m;estimate_weight;televize;big screen TV;;0,3;20;kg;true;1000;kg;false;100;g;false;
mass_m;estimate_weight;jízdního kola;bicycle;;0,3;15;kg;true;100;kg;false;100;g;false;
mass_m;estimate_weight;auta;car;;0,4;2000;kg;true;6000;g;false;2;kg;true;
mass_m;estimate_weight;auta;car;;0,4;2;t;true;6;kg;false;3000;kg;false;
;;;;;;;;;;;;;;;
mass_i;estimate_weight;televize;TV;;0,2;40;lb;true;2000;lb;false;160;oz;false;
mass_i;estimate_weight;propisky;pen;;0,1;14;oz;false;10;lb;false;0,2;oz;true;
mass_i;estimate_weight;lízátka;lollipop;;0,2;0,7;oz;true;44;lb;false;7;oz;false;
mass_i;estimate_weight;telefonu;mobile phone;;0,3;0,2;oz;false;10;lb;false;1;oz;true;
mass_i;estimate_weight;lžíce;spoon;;0,6;7;lb;true;0,8;oz;false;0,11;oz;false;
mass_i;estimate_weight;cihly;brick;;0,3;15;oz;false;4;lb;true;100;lb;false;
mass_i;estimate_weight;listu papíru;notebook paper;;0,1;10;oz;false;2;lb;false;0,1;oz;true;
mass_i;estimate_weight;jízdního kola;bicycle;;0,3;4;oz;false;220;lb;false;30;lb;true;
mass_i;estimate_weight;skateboardu;skateboard;;0,2;7;oz;false;4;lb;true;33;oz;false;
mass_i;estimate_weight;automobilu;car;;0,3;500;lb;false;5200;oz;false;2000;lb;true;
mass_i;estimate_weight;tenisového míčku;tennis ball;;0,5;2;lb;false;2;oz;true;30;lb;false;
mass_i;estimate_weight;tužkové baterie;battery;;0,4;100;lb;false;0,5;oz;true;10;oz;false;
mass_i;estimate_weight;šroubováku;screwdriver;;0,8;15;oz;false;2;oz;true;29;lb;false;
mass_i;compare;Co je těžší?;Which is heavier?;;0;1;lb;true;1;oz;false;;;;
;;;;;;;;;;;;;;;
mass_c;compare;Co je těžší?;Which is heavier?;;0;1;lb;false;1;oz;false;1;kg;true;
mass_c;compare;Co je těžší?;Which is heavier?;;0,2;2;lb;false;1;kg;true;500;g;false;
mass_c;compare;Co je těžší?;Which is heavier?;;0,2;3;lb;true;1;kg;false;;;;
mass_c;compare;Co je těžší?;Which is heavier?;;0,3;1;lb;false;20;oz;true;500;g;false;
mass_c;compare;Co je těžší?;Which is heavier?;;0,2;2;lb;false;1000;g;true;;;;
mass_c;compare;Co je těžší?;Which is heavier?;;0,4;2000;lb;false;1;t;true;100;kg;false;
mass_c;compare;Co je těžší?;Which is heavier?;;0,5;16;lb;true;1;oz;false;5;kg;false;
mass_c;compare;Co je těžší?;Which is heavier?;;0,5;10;lb;false;100;oz;false;5000;g;true;
mass_c;compare;Co je těžší?;Which is heavier?;;0,1;30;g;true;1;oz;false;1;kg;false;
mass_c;compare;Co je těžší?;Which is heavier?;;0,2;10;oz;true;200;g;false;;;;
;;;;;;;;;;;;;;;
area;estimate_area;Trafalgarského náměstí;Trafalgar Square;monument;0,2;1000;m2;false;1;ha;true;1;km2;false;has an area of about
area;estimate_area;Trafalgarského náměstí;Trafalgar Square;monument;0,4;12000;yd2;true;24000;ft2;false;2;mi2;false;
area;estimate_area;fotbalového hřiště;Football pitch;field;0,3;0,7;ha;true;0,5;ha;false;1;ha;false;
area;estimate_area;Olympijského plaveckého bazénu;Olympic-size swimming pool;;0,3;1;ha;false;500;m2;false;1250;m2;true;
area;estimate_area;Olympijského plaveckého bazénu;Olympic-size swimming pool;;0,3;3000;ft2;false;1450;yd2;true;100;ft2;false;
area;estimate_area;tenisového hřiště;Tennis court;;0,3;195;m2;true;56;m2;false;1;km2;false;
area;estimate_area;tenisového hřiště;Tennis court;;0,3;1000;yd2;false;2200;ft2;true;8400;ft2;false;
area;estimate_area;ostrova Manhattan v New Yorku;Manhattan (NYC);city;0,2;60;km2;true;1000;m2;false;500;km2;false;
area;estimate_area;ostrova Manhattan v New Yorku;Manhattan (NYC);city;0,2;56;yd2;false;23;mi2;true;;;;
area;estimate_area;Velké Británie;Great Britain;;0;500000;ha;false;200000;km2;true;;;;
area;estimate_area;Velké Británie;Great Britain;;0;200000;yd2;false;80000;mi2;true;;;;
area;;;;;;;;;;;;;;;
area;;;;;;;;;;;;;;;
area;;;;;;;;;;;;;;;
area;;;;;;;;;;;;;;;
area;;;;;;;;;;;;;;;
area;;;;;;;;;;;;;;;
area;compare;Co je větší?;Which is more?;;0,2;1;km2;false;1000;ha;true;;;;
area;compare;Co je větší?;Which is more?;;0,2;1;km2;true;10;ha;false;1;mi2;false;
;;;;;;;;;;;;;;;
temperature_m;estimate_temperature;horké polévky;hot bowl of soup;;0,3;80;degC;true;200;degC;false;;;;
temperature_m;estimate_temperature;při horečce;fever;;0,5;40;degC;true;100;degC;false;;;;
temperature_m;estimate_temperature;studené sklenice vody;cold glass of water;;0,2;2;degC;true;80;degC;false;;;;
temperature_m;estimate_temperature;vařící vody;boiling water;;0,1;100;degC;true;212;degC;false;;;;
temperature_m;estimate_temperature;uvnitř domu;inside a house;;0,3;18;degC;true;80;degC;false;;;;
temperature_m;estimate_temperature;šálku horké kávy;cup of hot coffee;;0,2;150;degC;false;85;degC;true;;;;
temperature_m;estimate_temperature;plechovky s kolou;can of soda;;0,2;4;degC;true;20;degC;false;;;;
temperature_m;estimate_temperature;uvnitř lednice;inside refrigerator;;0,1;4;degC;true;80;degC;false;;;;
temperature_m;estimate_temperature;venku ve slunečný den;outside in a sunny day;;0,4;21;degC;true;90;degC;false;;;;
temperature_m;estimate_temperature;bežná tělesná  teplota;ordinary body temperature;;0,3;37;degC;true;60;degC;false;;;;
temperature_m;estimate_temperature;šálku horkého kakaa;cup of hot cocoa;;0,4;200;degC;false;60;degC;true;;;;
temperature_m;estimate_temperature;bodu mrazu;freezing point of water;;0;0;degC;true;32;degC;false;;;;*
temperature_i;estimate_temperature;horké polévky;hot bowl of soup;;0,3;176;degF;true;80;degF;false;;;;
temperature_i;estimate_temperature;při horečce;fever;;0,5;104;degF;true;80;degF;false;;;;
temperature_i;estimate_temperature;studené sklenice vody;cold glass of water;;0,2;36;degF;true;176;degF;false;;;;
temperature_i;estimate_temperature;vařící vody;boiling water;;0,1;212;degF;true;0;degF;false;;;;
temperature_i;estimate_temperature;uvnitř domu;inside a house;;0,3;65;degF;true;176;degF;false;;;;
temperature_i;estimate_temperature;šálku horké kávy;cup of hot coffee;;0,2;85;degF;false;185;degF;true;;;;
temperature_i;estimate_temperature;plechovky s kolou;can of soda;;0,2;40;degF;true;90;degF;false;;;;
temperature_i;estimate_temperature;uvnitř lednice;inside refrigerator;;0,1;40;degF;true;80;degF;false;;;;
temperature_i;estimate_temperature;venku ve slunečný den;outside in a sunny day;;0,4;70;degF;true;30;degF;false;;;;
temperature_i;estimate_temperature;bežná tělesná  teplota;ordinary body temperature;;0,3;98,6;degF;true;132,3;degF;false;;;;
temperature_i;estimate_temperature;šálku horkého kakaa;cup of hot cocoa;;0,4;70;degF;false;140;degF;true;;;;
temperature_i;estimate_temperature;bodu mrazu;freezing point of water;;0;32;degF;true;0;degF;false;;;;
;;;;;;;;;;;;;;;